sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,45,0.009615385,0.20192307,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.20192307,0.20192307,0.29807693
2,46,0.018518519,0.018518519,0.2037037,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.38888887,0.2037037
2,47,0.09649123,0.18421052,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.00877193,0.27192983,0.00877193,0.09649123,0.18421052
2,48,0.008064517,0.008064517,0.008064517,0.008064517,0.25,0.008064517,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.08870968,0.41129032
2,49,0.004098361,0.004098361,0.004098361,0.12704918,0.004098361,0.004098361,0.004098361,0.16803278,0.004098361,0.004098361,0.04508197,0.33196723,0.16803278,0.12704918
2,50,0.00877193,0.00877193,0.00877193,0.27192983,0.00877193,0.00877193,0.00877193,0.18421052,0.00877193,0.09649123,0.00877193,0.09649123,0.09649123,0.18421052
2,51,0.009615385,0.10576924,0.009615385,0.29807693,0.009615385,0.009615385,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.10576924,0.10576924,0.20192307
2,52,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.32352942,0.32352942,0.029411765,0.029411765
2,53,0.011904763,0.011904763,0.011904763,0.13095239,0.011904763,0.011904763,0.25,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.13095239,0.13095239
2,54,0.0036496352,0.0036496352,0.0036496352,0.14963503,0.040145986,0.4051095,0.0036496352,0.0036496352,0.040145986,0.0036496352,0.0036496352,0.040145986,0.040145986,0.2591241
2,55,0.10576924,0.009615385,0.009615385,0.20192307,0.009615385,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.10576924,0.10576924,0.009615385,0.29807693
2,56,0.022727273,0.25,0.022727273,0.25,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.25,0.022727273,0.022727273,0.022727273
2,57,0.0051546395,0.0051546395,0.0051546395,0.0051546395,0.0051546395,0.0051546395,0.056701034,0.0051546395,0.15979381,0.0051546395,0.26288658,0.0051546395,0.15979381,0.31443298
2,58,0.0046728975,0.0046728975,0.051401872,0.051401872,0.09813084,0.0046728975,0.051401872,0.0046728975,0.0046728975,0.3317757,0.0046728975,0.09813084,0.1448598,0.1448598
2,59,0.008064517,0.008064517,0.008064517,0.08870968,0.08870968,0.16935484,0.08870968,0.08870968,0.008064517,0.008064517,0.008064517,0.008064517,0.25,0.16935484
2,60,0.003787879,0.003787879,0.041666668,0.041666668,0.003787879,0.041666668,0.07954545,0.003787879,0.003787879,0.3068182,0.041666668,0.07954545,0.15530303,0.19318181
2,61,0.10537189,0.0020661156,0.0020661156,0.08471074,0.16735537,0.0020661156,0.022727273,0.06404958,0.0020661156,0.06404958,0.08471074,0.08471074,0.14669421,0.16735537
2,62,0.0046728975,0.0046728975,0.0046728975,0.0046728975,0.28504673,0.0046728975,0.1448598,0.0046728975,0.19158879,0.0046728975,0.0046728975,0.0046728975,0.19158879,0.1448598
